Proposed-Penalty,Matrix-GA,JAYA-GA,All Features
0.9940137677880654,0.9940888332377856,0.9939835877852738,0.9938822635714757
0.9941978056721638,0.9940850858828488,0.9944360178291956,0.9934334526421652
0.9933540112607406,0.9938232242332495,0.9937371864084743,0.9935066727682748
0.9939689834589602,0.993846075945626,0.9942165407616868,0.9937245684757123
0.9932950162420797,0.994091201418852,0.9943618009715823,0.9941241754118982
0.9937498049354159,0.9942137048537942,0.9944754041840054,0.9939441536258511
0.99367288302028,0.9945750517884933,0.9945105232321956,0.9939156787309041
0.9942261170786346,0.9941445815508214,0.993906722226872,0.9934354278583236
0.9931286612972006,0.9938938172772348,0.9933295951160166,0.9933267454382593
0.9942677389903002,0.9945592846063959,0.9944852500420472,0.993956001704379
